StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,paq_ddf_neg_1,paq_dif_neg_2,paq_eot_gen_3,paq_ddf_pos_4,paq_dif_pos_5,paq_eot_gen_6,paq_timer_1_First Click,paq_timer_1_Last Click,paq_timer_1_Page Submit,paq_timer_1_Click Count,paq_ddf_neg_7,paq_eot_gen_9,paq_ddf_pos_10,paq_dif_pos_11,paq_eot_gen_12,paq_timer_2_First Click,paq_timer_2_Last Click,paq_timer_2_Page Submit,paq_timer_2_Click Count,paq_ddf_neg_13,paq_dif_neg_14,paq_eot_gen_15,paq_ddf_pos_16,paq_dif_pos_17,ac_paq,paq_eot_gen_18,paq_timer_3_First Click,paq_timer_3_Last Click,paq_timer_3_Page Submit,paq_timer_3_Click Count,paq_ddf_neg_19,paq_dif_neg_20,paq_eot_gen_21,paq_ddf_pos_22,paq_dif_pos_23,paq_eot_gen_24,paq_timer_4_First Click,paq_timer_4_Last Click,paq_timer_4_Page Submit,paq_timer_4_Click Count,pmerq_1,pmerq_2,pmerq_3,pmerq_4,pmerq_5,pmerq_6,pmerq_7,pmerq_8,pmerq_9,pmerq_10,pmerq_11,pmerq_12,pmerq_13,pmerq_14,pmerq_15,pmerq_16,pmerq_17,pmerq_18,pmerq_19,pmerq_20,pmerq_21,pmerq_22,pmerq_23,pmerq_24,pmerq_25,pmerq_26,pmerq_27,pmerq_28,pmerq_29,pmerq_30,pmerq_31,pmerq_32,pmerq_33,pmerq_34,pmerq_35,pmerq_36,pmerq_37,pmerq_38,pmerq_39,pmerq_40,pmerq_41,pmerq_42,pmerq_43,pmerq_44,pmerq_45,pmerq_46,pmerq_47,pmerq_48,pmerq_49,pmerq_50,pmerq_51,pmerq_52,pmerq_53,pmerq_54,pmerq_55,pmerq_56,pmerq_57,ac_pmerq,pmerq_timer_First Click,pmerq_timer_Last Click,pmerq_timer_Page Submit,pmerq_timer_Click Count,swls_1,swls_2,swls_3,swls_4,swls_5,swls_timer_First Click,swls_timer_Last Click,swls_timer_Page Submit,swls_timer_Click Count,fss_1,fss_2,fss_3,fss_4,fss_5,fss_6,fss_7,fss_8,fss_9,fss_timer_First Click,fss_timer_Last Click,fss_timer_Page Submit,fss_timer_Click Count,gad_1,gad_2,gad_3,gad_4,gad_5,gad_6,gad_7,gad_timer_First Click,gad_timer_Last Click,gad_timer_Page Submit,gad_timer_Click Count,phq_1,phq_2,phq_3,phq_4,phq_5,phq_6,phq_7,phq_8,phq_timer_First Click,phq_timer_Last Click,phq_timer_Page Submit,phq_timer_Click Count,tas_dif_1,tas_ddf_2,tas_dif_3,tas_ddf_4_r,tas_eot_5_r,tas_timer_1_First Click,tas_timer_1_Last Click,tas_timer_1_Page Submit,tas_timer_1_Click Count,tas_dif_6,tas_dif_7,tas_eot_8,tas_dif_9,tas_eot_10_r,tas_timer_2_First Click,tas_timer_2_Last Click,tas_timer_2_Page Submit,tas_timer_2_Click Count,tas_ddf_11,tas_ddf_12,tas_dif_13,tas_dif_14,ac_tas,tas_eot_15,tas_timer_3_First Click,tas_timer_3_Last Click,tas_timer_3_Page Submit,tas_timer_3_Click Count,tas_eot_16,tas_ddf_17,tas_eot_18_r,tas_eot_19_r,tas_eot_20,tas_timer_4_First Click,tas_timer_4_Last Click,tas_timer_4_Page Submit,tas_timer_4_Click Count,erq_reap_fr_1,erq_supp_fr_2,erq_reap_fr_3,erq_supp_fr_4,erq_reap_fr_5,erq_supp_fr_6,erq_reap_fr_7,erq_reap_fr_8,erq_supp_fr_9,erq_reap_fr_10,gender,age,academic,academic_7_TEXT,race_1,race_2,race_16,race_4,race_5,race_7,race_8,race_10,race_11,race_13,race_15,race_1_TEXT,race_16_TEXT,race_13_TEXT,race_15_TEXT,pid,pool,qualtrics_name,ac_pmerq_pass,ac_tas_pass,ac_paq_pass,ac_passes,rawdatafile,paq,paq_dif,paq_ddf,paq_eot,paq_neg,paq_pos,paq_dif_neg,paq_ddf_neg,paq_dif_pos,paq_ddf_pos
2021-06-30 21:42:56,2021-06-30 21:42:59,Survey Preview,NA,100,3,True,2021-06-30 21:43:00,R_302Wpx9xAdklyRr,37.423004150390625,-122.1638946533203125,preview,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-01 21:18:50,2021-07-01 21:22:25,IP Address,173.244.209.80,100,214,True,2021-07-01 21:22:25,R_ux38NEJYPAPJ8pX,40.7592010498046875,-111.8874969482421875,anonymous,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9999,test,NA,NA,NA,NA,NA,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-07-03 00:46:29,2021-07-03 02:36:54,IP Address,128.12.122.209,100,6624,True,2021-07-03 02:36:55,R_2uCFVUxl9KsQQNY,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,1,2,1,1,2,4.046,18.438,20.022,6,2,2,2,2,3,2.469,14.01,15.249,6,2,2,3,2,2,1,2,NA,NA,NA,NA,2,2,2,2,2,3,4.268,14.686,16.306,6,5,4,6,2,4,4,4,5,6,6,6,2,2,6,6,6,1,1,6,2,6,2,5,6,2,2,4,1,1,6,2,1,1,1,6,1,1,6,3,2,2,1,6,6,1,1,4,5,4,2,6,4,6,6,5,3,2,Agree,NA,NA,NA,NA,6,6,6,6,5,NA,NA,NA,NA,7,2,2,5,5,2,5,5,2,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,2,1,1,1,1,NA,NA,NA,NA,2,2,1,Moderately Agree,Moderately Agree,4.085,19.717,21.209,5,2,1,1,3,Strongly Agree,5.719,20.598,21.347,5,2,3,2,1,1,2,5.148,33.216,34.171,6,2,1,Strongly Agree,Strongly Agree,1,3.042,19.581,91.246,7,3,2,5,1,7,2,6,6,2,6,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9998,test,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,45,12,14,19,12,14,5,7,7,7
2021-07-03 03:02:02,2021-07-03 03:17:02,IP Address,174.194.194.38,100,900,True,2021-07-03 03:17:03,R_DJ3rSGrkZm6wIk9,37.704498291015625,-122.0742034912109375,anonymous,EN,1,2,1,2,2,2,3,6.95,35.906,36.745,15,5,1,1,5,1,4.971,41.669,42.95,24,5,2,1,2,2,1,1,NA,NA,NA,NA,2,2,1,1,4,1,10.005,34.231,34.727,23,5,2,2,5,4,6,5,5,5,5,6,2,5,3,5,5,2,2,5,3,6,1,6,6,2,2,2,3,5,5,2,5,3,2,6,2,4,6,3,2,4,2,6,6,2,1,4,2,4,4,6,6,6,6,6,3,1,Strongly agree,NA,NA,NA,NA,7,7,7,7,7,NA,NA,NA,NA,7,1,1,7,6,5,7,6,5,NA,NA,NA,NA,2,2,2,2,1,2,1,NA,NA,NA,NA,1,1,1,2,1,2,1,1,NA,NA,NA,NA,2,2,1,Moderately Agree,Strongly Agree,3.098,17.073,17.512,13,1,5,1,2,Strongly Agree,2.007,20.59,21.167,12,4,1,4,2,1,1,3.655,29.127,29.675,14,1,1,Strongly Agree,Strongly Agree,2,2.365,18.648,19.1,14,6,2,3,1,6,2,6,6,5,6,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9998,test,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,49,18,20,11,19,19,5,14,13,6
2021-07-06 20:40:51,2021-07-06 21:01:41,IP Address,73.235.50.203,100,1249,True,2021-07-06 21:01:42,R_1InImndTCzTwJRc,36.861297607421875,-119.76689910888671875,anonymous,EN,1,2,2,3,2,3,2,17.575,38.134,39.033,10,3,1,1,2,1,3.259,17.074,18.14,7,5,5,2,2,2,1,1,2.749,28.778,30.627,10,2,3,1,1,1,1,4.372,18.875,19.85,10,4,3,2,4,5,4,5,5,5,4,6,2,3,3,4,4,2,2,5,2,4,2,4,6,2,2,4,4,3,5,2,2,2,1,3,4,2,4,1,4,2,2,3,4,2,3,2,4,4,3,4,3,4,3,5,2,2,Agree,10.922,510.472,568.398,71,3,4,5,4,2,9.312,26.656,27.511,6,6,4,3,6,3,5,6,3,5,3.716,39.766,40.501,11,2,3,3,2,1,2,1,3.585,23.717,28.953,7,1,1,2,2,2,1,2,1,47.248,73.763,77.228,10,4,3,2,Moderately Agree,Moderately Agree,7.134,29.904,30.786,6,2,1,2,2,Moderately Agree,6.705,26.305,27.361,6,1,1,1,1,1,3,3.76,53.006,54.615,8,2,2,Moderately Agree,Moderately Agree,2,5.241,171.187,172.117,7,5,2,5,1,5,1,5,5,1,5,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96130,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,48,18,18,12,22,14,10,12,8,6
2021-07-06 21:28:16,2021-07-06 21:41:17,IP Address,76.102.0.169,100,780,True,2021-07-06 21:41:18,R_1CD9BBeNxKMorv5,37.347900390625,-122.03509521484375,anonymous,EN,1,5,3,2,6,2,2,5.948,24.154,25.36,6,2,2,2,2,2,10.878,24.146,25.464,9,5,2,3,2,2,1,2,4.181,32.972,34.193,9,5,2,2,2,2,2,9.043,26.636,27.637,8,5,3,5,4,5,5,4,5,5,3,4,5,5,3,5,3,2,3,4,3,5,3,6,5,3,4,2,3,4,3,2,4,3,5,3,2,4,3,2,4,2,2,2,4,3,2,4,3,4,3,2,3,3,2,3,5,3,Somewhat agree,5.479,280.663,283.001,63,3,4,3,6,2,3.659,15.019,16.095,5,6,2,3,2,2,2,5,2,2,8.252,36.439,38.113,12,1,1,2,1,1,1,1,2.832,20.51,21.784,9,1,1,2,1,1,1,1,1,5.406,60.052,60.301,10,2,2,1,Strongly Agree,Neither Disagree or Agree,4.318,43.987,45.16,6,2,2,2,1,Strongly Agree,2.288,16.385,17.646,6,2,1,2,2,1,1,16.485,43.426,44.61,10,4,1,Strongly Agree,Strongly Agree,4,4.856,19.268,20.414,7,2,4,6,2,6,2,5,6,2,6,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96109,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,61,15,29,17,24,20,7,17,8,12
2021-07-06 21:45:27,2021-07-06 21:58:41,IP Address,192.153.236.17,100,793,True,2021-07-06 21:58:41,R_323Y6xswKZSCWCM,37.373992919921875,-121.8594970703125,anonymous,EN,1,2,2,6,2,2,5,4.806,22.536,25.349,6,2,2,2,2,6,2.404,83.145,83.904,7,2,2,6,2,2,1,2,2.066,97.627,98.324,10,2,2,2,2,3,2,1.968,20.054,20.823,7,4,5,4,4,4,5,4,4,4,4,4,3,5,3,5,4,5,4,4,2,4,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,5,2,5,5,Agree,17.424,263.748,267.606,61,2,2,2,2,2,3.565,15.343,16.682,7,6,3,3,6,5,1,6,5,5,2.307,33.001,33.954,13,3,3,2,4,3,2,1,2.003,27.745,31.637,8,2,3,4,3,3,3,4,2,5.017,27.739,28.582,14,2,2,1,Moderately Disagree,Moderately Agree,4.302,18.698,19.503,7,2,2,2,3,Moderately Agree,1.936,13.451,14.236,6,3,4,4,2,1,4,2.21,30.924,31.323,7,2,3,Moderately Agree,Moderately Agree,2,3.304,17.081,17.862,5,7,6,6,5,5,6,6,6,3,3,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94570,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,62,15,16,31,14,17,6,8,9,8
2021-07-06 23:35:41,2021-07-07 00:05:35,IP Address,73.70.86.162,100,1793,True,2021-07-07 00:05:35,R_2fEaNopC6R9M2Mv,38.247802734375,-122.61920166015625,anonymous,EN,1,5,2,6,3,5,4,1.962,73.644,74.529,16,3,5,1,1,3,0.284,38.016,38.909,14,6,6,3,5,2,1,2,50.11,86.518,87.515,18,5,5,1,3,2,2,27.784,61.675,62.499,11,4,4,4,5,6,5,2,1,5,5,5,3,2,4,5,2,6,4,5,5,5,6,5,6,5,6,5,5,5,2,5,5,5,4,6,5,5,5,5,5,2,2,4,2,4,2,4,5,4,5,2,4,5,4,6,5,2,Strongly agree,1.1,1044.91,1046.808,113,6,6,6,6,7,0.642,19.442,20.425,10,7,5,1,6,2,2,3,1,2,14.415,68.83,69.69,18,1,1,1,1,2,1,1,0.494,33.425,34.964,14,2,1,1,2,2,1,1,1,0.271,49.277,51.011,15,4,4,3,Neither Disagree or Agree,Moderately Disagree,4.186,23.395,24.27,12,2,3,2,4,Strongly Agree,3.663,22.136,22.978,8,4,3,3,4,1,2,3.578,38.12,39.066,12,4,1,Strongly Agree,Strongly Agree,2,5.793,25.74,26.805,9,5,2,7,2,5,5,6,5,3,6,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96679,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,80,23,31,26,32,22,13,19,10,12
2021-07-07 00:05:18,2021-07-07 00:13:27,IP Address,24.6.47.227,100,488,True,2021-07-07 00:13:27,R_1lsHzhvVL5w85sE,37.50970458984375,-121.902099609375,anonymous,EN,1,4,4,5,6,5,6,1.636,9.681,11.528,6,3,7,5,4,6,1.266,5.429,7.001,6,4,4,4,6,4,1,4,2.361,21.527,23.255,11,3,5,6,6,4,5,2.836,12.942,13.958,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,Strongly disagree,0.749,236.763,237.858,60,2,2,2,7,1,1.714,6.188,14.169,6,4,3,2,2,3,3,3,3,3,1.381,10.108,11.008,9,3,1,2,3,1,3,1,0.655,5.628,20.872,9,1,1,3,1,3,2,2,2,3.742,9.504,20.405,8,4,5,1,Moderately Disagree,Moderately Agree,0.549,2.316,5.915,5,2,5,1,3,Strongly Disagree,0.285,2.58,7.271,6,3,2,2,2,1,2,0.208,21.505,27.834,8,3,1,Strongly Disagree,Moderately Disagree,2,2.67,4.695,14.089,5,3,4,4,4,4,4,3,3,3,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91741,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,110,30,37,43,27,40,13,14,17,23
2021-07-07 00:13:57,2021-07-07 00:39:59,IP Address,73.202.200.80,100,1561,True,2021-07-07 00:39:59,R_2YmntooWWseWp0G,37.3209075927734375,-121.91259765625,anonymous,EN,1,5,2,2,2,2,1,8.256,36.301,38.184,12,3,2,2,1,1,6.993,37.882,40.973,15,2,2,4,2,2,1,1,16.228,71.014,73.296,16,3,5,1,2,1,1,9.658,51.233,53.295,12,5,4,4,3,6,2,5,3,4,5,5,4,5,4,2,5,4,4,4,5,5,3,6,4,4,5,5,5,4,4,4,5,4,6,6,4,5,6,5,6,5,5,6,4,5,2,3,5,4,5,5,5,6,5,5,4,3,Agree,21.962,521.269,522.611,119,5,6,7,6,3,6.008,27.875,30.184,10,5,2,1,2,2,4,4,5,3,7.396,95.981,135.669,22,2,1,2,1,1,1,3,9.811,71.34,73.592,15,2,1,3,1,1,2,1,1,24.054,135.458,140.369,17,1,1,1,Strongly Agree,Moderately Agree,20.248,63.345,67.507,9,2,1,3,1,Strongly Agree,7.775,41.564,44.89,8,2,3,1,1,1,2,7.668,71.679,83.869,13,4,1,Strongly Agree,Strongly Agree,4,9.593,51.666,57.698,12,7,3,6,2,6,2,5,5,3,7,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96124,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,49,15,21,13,22,14,9,13,6,8
2021-07-07 01:15:15,2021-07-07 01:31:34,IP Address,99.52.204.80,100,978,True,2021-07-07 01:31:35,R_3EzEnEC2dBf1EN4,37.437103271484375,-121.8954010009765625,anonymous,EN,1,5,3,3,1,2,3,11.966,45.769,47.855,8,3,2,4,4,4,4.958,42.79,46.777,7,4,5,6,6,6,1,6,5.007,29.446,31.587,8,5,4,2,4,4,4,8.686,39.858,46.327,6,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Agree,6.316,152.438,153.3,59,5,6,6,6,5,5.677,19.821,21.102,6,6,3,3,4,4,4,3,3,2,6.446,52.61,57.201,9,2,1,1,2,2,1,1,7.416,59.834,61.064,7,3,1,2,2,2,1,1,2,11.771,87.853,89.64,8,3,3,1,Moderately Disagree,Neither Disagree or Agree,2.589,30.835,31.8,7,2,2,3,3,Moderately Disagree,4.792,35.477,38.495,5,3,3,1,1,1,3,54.729,77.987,88.239,9,3,2,Neither Disagree or Agree,Moderately Disagree,3,4.712,23.983,25.701,5,1,1,5,2,3,6,5,4,5,4,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96256,rep,emo_similarity_network_presurvey_sum2021,0,1,1,1 + 0 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,90,28,32,30,29,31,12,17,16,15
2021-07-07 03:11:19,2021-07-07 03:23:15,IP Address,174.87.87.61,100,715,True,2021-07-07 03:23:15,R_3nHhj2A3Dyv3szD,35.261199951171875,-120.654998779296875,anonymous,EN,1,3,3,2,3,4,3,8.828,31.181,31.734,9,5,2,4,3,4,4.477,23.919,24.393,8,5,6,4,4,3,1,2,4.581,23.453,25.106,11,5,6,2,4,2,2,4.857,37.115,38.354,8,5,5,2,5,5,5,4,5,3,2,3,3,3,2,2,4,4,5,3,4,4,4,2,5,4,4,5,4,4,3,3,3,5,4,4,5,4,3,4,5,3,3,4,2,3,4,4,3,4,4,2,4,2,4,3,4,4,Somewhat disagree,7.91,279.2,279.747,82,2,3,3,5,2,4.328,20.09,21.055,8,6,6,5,7,6,5,5,4,5,1.761,26.964,27.781,16,3,3,3,2,1,2,2,2.124,22.285,23.101,10,2,2,1,2,2,1,3,1,2.249,36.121,37.023,13,4,4,1,Neither Disagree or Agree,Moderately Agree,5,23.811,26.01,8,4,2,1,3,Strongly Agree,6.352,23.366,24.221,9,3,1,3,3,1,1,2.519,31.118,32.521,9,5,3,Moderately Agree,Moderately Agree,2,4.694,23.477,24.869,7,6,4,5,3,4,5,6,6,5,6,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96517,rep,emo_similarity_network_presurvey_sum2021,1,1,1,1 + 1 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,81,27,33,21,33,27,15,18,12,15
2021-07-07 02:44:42,2021-07-07 03:44:10,IP Address,99.52.204.80,100,3568,True,2021-07-07 03:44:11,R_2ZIhtE4k16qocJw,37.437103271484375,-121.8954010009765625,anonymous,EN,1,7,4,3,4,3,7,5.372,49.933,51.749,7,4,4,4,4,4,2.799,17.317,18.401,6,4,3,3,3,7,1,3,2.912,18.389,20.038,8,5,3,4,3,3,4,7.269,21.887,23.287,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Agree,118.038,247.648,249.232,58,5,6,6,6,7,5.993,18.128,19.691,5,3,3,3,1,1,1,1,1,1,5.217,34.366,36.198,12,1,1,1,2,2,2,1,3.007,21.278,22.401,7,3,1,1,2,2,1,1,1,4.082,32.885,34.085,9,3,3,3,Neither Disagree or Agree,Neither Disagree or Agree,4.25,20.818,21.944,5,2,2,3,1,Neither Disagree or Agree,6.111,21.589,23.99,5,2,2,1,1,1,2,5.381,25.015,26.565,6,3,3,Strongly Disagree,Neither Disagree or Agree,1,4.741,14.774,15.8,5,2,4,5,4,4,4,5,5,3,4,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96256,rep,emo_similarity_network_presurvey_sum2021,0,1,1,1 + 0 + 1,/Users/ashish/files/research/projects/alexithymia/emo_similarity_image_network/data/raw/2021-07-10/emo_similarity_network_presurvey_sum2021.csv,93,27,34,32,30,31,10,20,17,14
